hotspottime,provinsi,kabupaten,kecamatan,location,satellite,confidence
2021-04-18 16:35:09,Nusa Tenggara Timur,Sumba Timur,Pahungalodu,0101000020E61000006FCD04608F295E400FD02280405624C0,snpp,medium
2021-04-18 16:35:09,Nusa Tenggara Timur,Kupang,Fatuleu Barat,0101000020E61000000ACA0260DBE85E40D43E250062CB23C0,snpp,medium
2021-04-18 16:35:09,Maluku Utara,Halmahera Selatan,Obi,0101000020E6100000BE70006009DC5F40968B00C0145AF7BF,snpp,medium
2021-04-18 16:35:09,Maluku Utara,Halmahera Tengah,Weda Tengah,0101000020E610000074770038040060409A4CCBFE2FCDDE3F,snpp,medium
2021-04-18 16:35:09,Nusa Tenggara Timur,Sumba Timur,Pahungalodu,0101000020E61000006FCD04608F295E400FD02280405624C0,snpp,medium
2021-04-18 16:35:09,Nusa Tenggara Timur,Kupang,Fatuleu Barat,0101000020E61000000ACA0260DBE85E40D43E250062CB23C0,snpp,medium
2021-04-18 16:35:09,Maluku Utara,Halmahera Selatan,Obi,0101000020E6100000030BFD9F05DC5F407C129680B161F7BF,snpp,medium
2021-04-18 16:35:09,Maluku Utara,Halmahera Selatan,Obi,0101000020E610000079D603200DDC5F40B1046BFF7752F7BF,snpp,medium
2021-04-18 16:35:09,Maluku Utara,Halmahera Tengah,Weda Tengah,0101000020E6100000110701E015006040EC90B47EA7C7DE3F,snpp,medium
2021-04-18 16:35:09,Maluku Utara,Halmahera Tengah,Weda Tengah,0101000020E6100000AECFFF1FE5FF5F404808E27EB8D2DE3F,snpp,medium
2021-04-18 18:17:35,Jambi,Batanghari,Mersam,0101000020E6100000A6ED04A0B6B75940D0C873BF3B60F9BF,snpp,medium
2021-04-18 18:17:35,Jambi,Tanjung Jabung Barat,Tungkalilir,0101000020E610000047270120DDD75940B7C824C03C06F3BF,snpp,medium
2021-04-18 18:17:35,Jambi,Tanjung Jabung Barat,Tungkalilir,0101000020E6100000CF3805E0FCD6594030629F008AD1F2BF,snpp,medium
2021-04-18 18:17:35,Sumatera Selatan,Ogan Komering Ilir,Pampangan,0101000020E610000042500340F4515A40B170ED9F020B06C0,snpp,medium
2021-04-18 18:17:35,Lampung,Lampung Timur,Sukadana,0101000020E6100000A79201A08A6E5A403E094BC0D81413C0,snpp,medium
2021-04-18 18:17:35,Banten,Tangerang,Kosambi,0101000020E61000005009FC9F0BAB5A4061BD1780C26418C0,snpp,medium
2021-04-18 18:17:35,Jawa Barat,Karawang,Rengasdengklok,0101000020E610000054FC0020BED45A40BE85B7FFAFDF18C0,snpp,medium
2021-04-18 18:17:35,Di Yogyakarta,Sleman,Pakem,0101000020E61000000923A6AA659C5B40A1B429B51A2E1EC0,snpp,medium
2021-04-18 18:17:35,Riau,Rokan Hilir,Bagan Sinembah,0101000020E6100000FD33FFBFDC2059405495328022DCFF3F,snpp,medium
2021-04-18 18:17:35,Jambi,Batanghari,Mersam,0101000020E6100000A6ED04A0B6B75940D0C873BF3B60F9BF,snpp,medium
2021-04-18 18:17:35,Jambi,Tanjung Jabung Barat,Tungkalilir,0101000020E610000047270120DDD75940B7C824C03C06F3BF,snpp,medium
2021-04-18 18:17:35,Jambi,Tanjung Jabung Barat,Tungkalilir,0101000020E6100000CF3805E0FCD6594030629F008AD1F2BF,snpp,medium
2021-04-18 18:17:35,Sumatera Selatan,Ogan Komering Ilir,Pampangan,0101000020E610000042500340F4515A40B170ED9F020B06C0,snpp,medium
2021-04-18 18:17:35,Lampung,Lampung Timur,Sukadana,0101000020E6100000A79201A08A6E5A403E094BC0D81413C0,snpp,medium
2021-04-18 18:17:35,Banten,Tangerang,Kosambi,0101000020E61000005009FC9F0BAB5A4061BD1780C26418C0,snpp,medium
2021-04-18 18:17:35,Jawa Barat,Karawang,Rengasdengklok,0101000020E610000054FC0020BED45A40BE85B7FFAFDF18C0,snpp,medium
2021-04-18 18:17:35,Jawa Tengah,Magelang,Srumbung,0101000020E61000007788FB9F2E9C5B400961C13F9D2D1EC0,snpp,medium
2021-04-18 18:17:35,Di Yogyakarta,Sleman,Pakem,0101000020E61000009CA1FAFF9F9C5B4073810D809F2E1EC0,snpp,medium
2021-04-18 18:17:35,Di Yogyakarta,Sleman,Pakem,0101000020E6100000003FFC5F629C5B40673BAE5F132E1EC0,snpp,medium
2021-04-18 18:17:35,Riau,Rokan Hilir,Bagan Sinembah,0101000020E6100000FD33FFBFDC2059405495328022DCFF3F,snpp,medium
2021-04-19 02:57:00,Kalimantan Barat,Ketapang,Kendawangan,0101000020E61000000000006084AC5B4001000060349A04C0,terra,medium
2021-04-19 02:57:00,Sumatera Selatan,Ogan Komering Ilir,Tulung Selapan,0101000020E6100000FDFFFFBF035E5A40010000A05FC607C0,terra,medium
2021-04-19 02:57:00,Jawa Barat,Sukabumi,Pelabuhan Ratu,0101000020E61000000300004080A35A40000000803CF31BC0,terra,low
2021-04-19 02:57:00,Jawa Barat,Bandung,Solokan Jeruk,0101000020E6100000FDFFFFBF4DEF5A4000000060CC041CC0,terra,medium
2021-04-19 02:57:00,Jawa Tengah,Semarang,Mijen,0101000020E6100000FDFFFFBF5F955B40010000A09C2D1CC0,terra,medium
2021-04-19 02:57:00,Jawa Timur,Lamongan,Lamongan,0101000020E6100000030000A0901A5C40000000206F781CC0,terra,medium
2021-04-19 02:57:00,Jawa Timur,Mojokerto,Ngoro,0101000020E6100000FDFFFFBFE5265C400000002019431EC0,terra,medium
2021-04-19 02:57:00,Jawa Timur,Sidoarjo,Gedangan,0101000020E6100000FFFFFFDF32305C40000000E0C2911DC0,terra,medium
2021-04-19 02:57:00,Jawa Tengah,Semarang,Bawen,0101000020E6100000FEFFFF1F6C9B5B40000000E09CE51CC0,terra,medium
2021-04-19 02:57:00,Kalimantan Barat,Ketapang,Kendawangan,0101000020E61000000000006084AC5B4001000060349A04C0,terra,medium
2021-04-19 02:57:00,Sumatera Selatan,Ogan Komering Ilir,Tulung Selapan,0101000020E6100000FDFFFFBF035E5A40010000A05FC607C0,terra,medium
2021-04-19 02:57:00,Jawa Barat,Sukabumi,Pelabuhan Ratu,0101000020E61000000300004080A35A40000000803CF31BC0,terra,low
2021-04-19 02:57:00,Jawa Barat,Bandung,Solokan Jeruk,0101000020E6100000FDFFFFBF4DEF5A4000000060CC041CC0,terra,medium
2021-04-19 02:57:00,Jawa Tengah,Semarang,Mijen,0101000020E6100000FDFFFFBF5F955B40010000A09C2D1CC0,terra,medium
2021-04-19 02:57:00,Jawa Timur,Lamongan,Lamongan,0101000020E6100000030000A0901A5C40000000206F781CC0,terra,medium
2021-04-19 02:57:00,Jawa Timur,Mojokerto,Ngoro,0101000020E6100000FDFFFFBFE5265C400000002019431EC0,terra,medium
2021-04-19 02:57:00,Jawa Timur,Sidoarjo,Gedangan,0101000020E6100000FFFFFFDF32305C40000000E0C2911DC0,terra,medium
2021-04-19 02:57:00,Jawa Tengah,Semarang,Bawen,0101000020E6100000FEFFFF7F229B5B4000000080F0E41CC0,terra,medium
2021-04-19 02:57:00,Jawa Tengah,Semarang,Bawen,0101000020E6100000FDFFFFBFB59B5B400000004049E61CC0,terra,medium
2021-04-19 05:11:56,Nusa Tenggara Barat,Sumbawa,Utan,0101000020E61000007FECFD5F58475D408850002082D720C0,snpp,low
2021-04-19 05:11:56,Nusa Tenggara Barat,Bima,Donggo,0101000020E6100000F05EFFBFFBAA5D40736D24E042F020C0,snpp,low
2021-04-19 05:11:56,Nusa Tenggara Timur,Sumba Timur,Paberiwai,0101000020E6100000D0B6FD9FE1105E406282F9AF9CCE23C0,snpp,medium
2021-04-19 05:11:56,Sulawesi Selatan,Bone,Lamuru,0101000020E6100000BACBCC6CDAFD5D40AEE8A179AA3612C0,snpp,medium
2021-04-19 05:11:56,Kalimantan Selatan,Tanahbumbu,Angsana,0101000020E61000003CF7FD1F70E85C40BDE8A70F8FFA0CC0,snpp,medium
2021-04-19 05:11:56,Sulawesi Selatan,Luwu,Basse Sangtempe,0101000020E61000008E27FEFFEA035E401FD67EDF7D9509C0,snpp,medium
2021-04-19 05:11:56,Kalimantan Tengah,Katingan,Sanaman Mantikei,0101000020E6100000CF3805E0BC455C408389DC5F7F0AF5BF,snpp,medium
2021-04-19 05:11:56,Nusa Tenggara Barat,Sumbawa,Utan,0101000020E61000007FECFD5F58475D408850002082D720C0,snpp,low
2021-04-19 05:11:56,Nusa Tenggara Barat,Bima,Donggo,0101000020E6100000F05EFFBFFBAA5D40736D24E042F020C0,snpp,low
2021-04-19 05:11:56,Nusa Tenggara Timur,Sumba Timur,Paberiwai,0101000020E61000004FA3FBFFD9105E405DB3E8DF26CE23C0,snpp,medium
2021-04-19 05:11:56,Nusa Tenggara Timur,Sumba Timur,Paberiwai,0101000020E610000050CAFF3FE9105E4068510A8012CF23C0,snpp,medium
